Місяць(1-12),Середня температура повітря (°C),Відносна вологість повітря (%),Швидкість вітру (м/с),Кількість опадів (мм),Сонячна радіація (МДж/м²),Тривалість сонячного дня (годин),Температура ґрунту (°C),Вологість ґрунту (%),pH ґрунту,Вміст органічної речовини в ґрунті (%),Вміст важких металів у ґрунті (мг/кг),Вміст викидів пилу у повітрі (мг/м³),"Концентрація діоксиду азоту (NO₂, мг/м³)","Концентрація діоксиду сірки (SO₂, мг/м³)",Присутність фосфатів у водоймах (мг/л),Біомаса рослинності (кг/м²),Чисельність травоїдних тварин (особини/км²),Чисельність хижаків (особини/км²),Чисельність декомпозиторів (особини/км²),Різноманіття видів рослин (кількість видів)
11,3.56900941469522,66.6711863440568,10.1783760974381,25.8912110845942,10.9149502963629,7,0.96421067827504,9.42775631791958,7.0937856133434,3.72753832585535,1.4332672583047,105.910830728073,7.90095494251557,6.48750699793352,0.32233164787344,2.40913207380751,65.3156445584264,11.4009120576138,1263.51477884282,165.520126686321
12,-4.55234524838255,52.4873645077288,11.9391593500689,37.1347796740546,6.77642738098192,5,-2.50629157673602,10.4088825965957,5.50449377748193,1.83596108245226,0.902318057272787,28.1415956945261,14.6874294760799,13.1733963621042,0.140670221520679,2.50343608622204,187.812940780786,5.34031904674157,837.520739433034,100.326101657062
1,-4.67154951623793,43.5936306259324,7.04123257535943,6.01541023616499,7.35568447684414,5,-0.685684644449246,25.4762710175787,6.46454552885597,2.51094846548687,0.161927860193814,10.809170018854,37.37107846754,9.18747940563791,0.202403623266958,1.46637139707348,184.598625105832,10.2309324215226,5969.65507204583,125.194763547318
2,-3.67531667793313,39.87269353326,2.48508473325477,12.5111988216988,19.0659827928828,6,-6.30742080525522,8.36648007798493,7.02677681099325,2.59456798697918,1.05587924896188,32.0147077616099,7.75204484722147,3.59311669776508,0.131489736460446,3.33818278825297,83.2841564973643,11.3230884894542,1665.31263801638,136.111499442507
3,0.976054306922957,58.7753743138215,4.6791056833141,27.5409984128692,11.412578212181,8,0.0901121959582464,9.55739341234457,6.79123851496375,1.55513230973984,0.96665365768158,51.4610613929124,8.20708807760954,12.3195135520195,0.0660605426511045,1.19013033678351,83.0949236567394,17.206069013021,3393.47863382821,172.48476032799
4,9.69742440825466,65.0763709274906,11.4234804664023,8.95455426256604,8.31474173919566,11,19.6524133980623,22.083688887594,6.3224111401743,3.46037109088994,0.723089912442022,31.8824926538108,13.0263350788006,8.25933092542323,0.0980741875448939,0.545661339488654,150.649765608171,10.3225423220964,994.574254207778,66.4955494111078
5,21.0862024997245,64.5471221826836,10.7067535836942,60.4251300503128,20.3576602757294,13,25.7469219758176,8.50404825397962,7.03404951031696,2.45115972285423,0.933543293029506,12.2970394709072,31.566857237366,14.3720717156343,0.0809032083182972,0.37518224827652,134.557657709998,4.69881374215306,6847.74848641323,71.6322513186698
6,25.302623821812,45.8213636765132,3.31521943272039,28.7927672804692,16.4039825542026,15,30.9984942182427,20.9963022239451,6.61483547503179,1.7822373467511,0.587919960990984,76.8702839775711,23.9561117595551,14.3060691310314,0.197276380792508,0.752594725344699,197.385822471123,3.43134340904227,3173.62723767754,125.486709431552
7,34.7699966961997,59.6697856618704,9.3667630927195,15.987150247944,6.28895598171073,15,29.5315320561777,14.2857419460288,6.42789284682501,1.66428680818203,0.89616089392554,34.8025342252368,15.5664251548086,10.8254446504316,0.378763990477428,2.54091151024068,190.166600372599,4.27597778383762,1159.25120076104,80.7924560547505
8,21.2446474907703,58.7143306526639,8.88585888585535,47.6585235864762,17.0323540791886,14,26.1062954259549,18.0863814617264,7.31430544393803,1.90817190826768,0.855975613269517,99.9790374218364,19.2931331129915,7.38200705859188,0.389599560946155,1.05027204565061,67.9596597612336,8.95020643520602,6813.99668807166,88.7735060932999
9,18.8717245531398,57.459432961177,9.78530492377672,78.0953271475346,8.27955481525288,12,13.3185823535617,23.146566905963,6.69875058948512,3.8602014210717,1.40912750468543,69.9881034590391,13.9223277101851,13.6236534848238,0.0341691013093669,0.48304759174719,66.1550757594752,3.92665499984077,5150.99723195496,174.351196657816
10,8.85955710993692,31.5597456908616,9.6312047697972,60.6293500218086,11.2545387259659,10,4.86253965562837,11.3783763007954,5.71804843922183,3.33848191906724,0.97157597898576,95.7605136670912,14.1669951092717,3.81017860798732,0.248263521522332,0.465816641957033,128.214878461475,6.35731828265909,3281.69562429565,95.0142598892523
11,2.75564526442575,51.6254383195763,8.08203251256084,21.3136830113348,8.0018810617643,7,-4.08431198489784,29.7532149445411,5.69661114940466,3.32247522941891,1.31753702596063,29.4087948503403,9.07556045286975,8.5642699459397,0.37957939837189,2.67925571309944,61.2621319269361,12.3451647404362,487.517582256957,76.0611549035672
12,-2.24563356098485,41.5809574956191,2.25620458028417,68.6093701911363,16.6674005221937,5,2.93493442683175,21.8561024359523,6.46177670523007,2.89298467947906,0.694038239786726,91.7935183183914,25.2522602435064,3.59829024550696,0.161708657708766,0.707314363765176,138.521688228643,3.75966701687737,1282.02932537902,98.969729070102
1,-4.60492246660487,70.4043863025731,9.52283441524504,74.9294730713778,8.23703290365648,5,-10.774638131884,22.6702014695889,7.01302006854461,1.52417911987823,0.304055451887365,49.0742914660292,9.5185680530412,6.54097509136849,0.241226480098847,2.40972232663259,139.340120041878,6.45861121441256,925.916325885343,85.7625707778914
2,-5.92363180272289,34.8718756899571,9.45624822677589,34.9514084442449,9.18938632731116,6,-8.11359387942905,24.2479544164034,6.33822238695115,1.57160644028209,1.14042267971288,18.1290395501116,38.3948631771318,9.10672384436339,0.34172405126838,1.96702973321053,98.9556430406676,5.37853889998489,1954.96496379501,98.7121928022152
3,3.57234092912602,61.8461439488286,4.68219448504519,7.81502454079685,18.9066672560834,8,5.50157794540066,21.1541508340616,6.1763510357604,2.16637738638109,1.49280709758953,59.9478443943778,28.381157970453,4.90881659998086,0.0985970969396924,1.82445910810564,140.148258287225,18.304220302081,978.406802795549,98.0259732168457
4,14.4209990159744,71.6468120782156,8.09322279898357,24.1646460869901,18.8685880271594,11,6.2246529478473,21.634792133921,6.66157132138487,2.70131870864116,1.39194498824201,36.7515616882971,24.8098299496443,12.3999239904209,0.182681636792219,0.603144393266506,72.1993163662653,15.8256159417245,583.717549031153,80.7283549724258
5,12.7244158056834,37.0180648473578,5.2547812961386,69.2517916782936,8.84329644402067,13,26.4981089825,17.1873403381163,5.55880762239559,1.85994901626866,0.442240491353256,66.2362041718295,14.7305667144408,6.96589587575543,0.220521475421636,2.00608767621101,117.306343638433,16.4133193424162,526.749680162225,129.222541319745
6,23.4362855947956,53.596965053438,8.11541227398169,51.0898474570228,19.9820480589478,15,22.0308064479348,20.8440059052243,6.12778467781166,3.55106583618264,0.142198883045408,81.1583643066495,27.7312724725078,7.37359441738556,0.213004029367212,1.00433610402135,47.5025562096964,18.0008012794099,3448.98970263805,88.5379806975096
7,31.8634424715686,59.651466810221,8.38558602595127,78.4177696578642,16.4044462232642,15,38.755867535944,13.9302006464329,6.04058491995775,3.66058896011584,0.461139019910863,10.0243391610269,22.3095965197547,5.93917824464954,0.0468557537515123,2.76437756068852,131.094155624819,5.11094112637503,4707.25975256032,148.178491127715
8,26.2739403608186,58.0453564703539,11.3295382004516,50.9021769171463,13.7259509456657,14,22.4775443432551,13.9337999597505,6.5372169783194,2.45578623464804,0.704460407193366,63.6072160245816,6.15183704756959,6.94698963545699,0.298706243681454,0.507277835456811,162.472586561929,4.32136018983912,6679.93226696238,144.881340239096
9,21.992001693159,48.9358749291665,6.65993407294829,51.7189013057084,10.5575201111783,12,20.5872713846209,8.51703510426659,7.00499516827173,3.24848568160068,1.09574703188098,83.5665432897905,25.9659973558967,4.53392053839844,0.261266027395392,0.440296346806712,39.0860674893515,13.245254445747,1110.14397703031,116.00435736391
10,11.2718109577918,41.841881987301,6.87048611594335,39.0428654442401,23.3736002323944,10,14.8736318839438,19.6228714346426,5.71902088884211,1.7737556690848,0.886420364890777,97.9472731824757,25.8553513096183,13.9929115572954,0.141953797656111,1.15278003552895,123.712744463237,10.7806423980696,1348.80429404957,101.281619381089
11,7.64738000036858,54.2590147029654,5.50225529484569,45.8183718843362,14.3246538168707,7,-0.78310830982506,14.1854098369289,7.37453522192535,3.55613020577791,0.736413950974357,102.028287045129,32.9584825159059,3.44635726754223,0.129685598994015,1.68536790022274,97.5592368610007,8.60536297254015,2138.91720840512,176.356352164568
12,-3.64373807568167,52.686828835165,3.41565914045179,39.0368464935153,19.0691783880907,5,-10.1723392431097,25.4940075581168,6.01430630082018,3.6105390330105,0.726718550011874,34.5712506817243,13.1422639380645,10.8104861040578,0.285249543757219,1.37610278861085,182.742706243029,9.81799568977522,2985.32343617555,136.28404541515
1,-7.17727908537644,39.1330867910444,7.86473702826855,35.8057881737166,12.9432688329291,5,-4.28310080501296,29.749275375196,7.14773105745065,3.40469407478918,0.428641725970951,36.6769424214457,23.9660074189964,3.32527037120991,0.356782505848656,1.87290237921004,186.922442471092,18.6688551242305,5154.30955440692,74.9127595592805
2,-5.80845810086268,41.9656466642809,2.19560004625048,65.2737018052542,23.2711508956796,6,-1.20190849332083,13.6329096245202,6.54370560105567,3.53787800559758,0.801124783607274,13.5883493710953,9.95185016999282,9.84190713924728,0.335904921344817,2.74510139477071,172.303214857894,13.20749496182,3697.53136685726,113.321266744547
3,3.06437588920704,69.7933934910352,6.28222238624985,35.3229554975369,16.5887339262209,8,6.59234966196689,21.7024314129325,7.00801405391633,1.99514247152496,1.10232947129626,63.8190745594303,34.2934617909423,14.4709199924656,0.323027463575994,1.47713085905624,34.5403727541202,15.730927399389,3141.19907671277,125.353449398621
4,9.35624842803059,71.8151475767867,3.25350495743553,34.3791021087146,9.74683741065528,11,5.05991142142785,12.3290730549533,7.25684461356188,2.19451972517948,0.562739883783729,90.0018409560893,24.0631312352978,5.48956042732487,0.209857348412533,1.13122585518652,106.464575762968,11.6166213099968,5952.19767932193,143.738314332528
5,14.2524225466259,74.9607155297878,3.65015070971971,76.896612131561,16.6300055114999,13,26.3237910090804,9.61913992249262,7.08333806130694,2.65280411480487,1.0409028368196,83.3602169114091,17.760636584116,7.93499585472663,0.285909125390755,2.84806939885274,164.61687140121,12.3672717707354,3659.40301068829,83.4465173418227
6,29.9243475669086,48.2224893222964,6.33505126996807,79.6774131834551,13.1640463984197,15,28.5095225284511,20.759527698574,5.87076948261328,2.62674810369305,1.35731917518408,88.3829770929165,37.0913461837142,3.67190416821691,0.114750210601474,2.14103979257896,87.9595155351548,13.6992909794785,1461.81020842737,172.625477968491
7,30.3777599313524,64.5323115966432,11.8768520940063,78.633795532849,21.2095205455533,15,36.6412767138809,16.4024333211131,6.77267766412625,1.73979135723963,0.698345296899824,91.7403514603296,22.2871298282358,4.89079987643307,0.251365295253386,1.11469194392592,183.248549488378,4.09547793328666,552.147987385999,165.174920861082
8,26.1689391081732,46.7580664980151,4.25011218986605,79.0601342039981,18.6155389895816,14,16.6897750410717,13.6118183184524,7.20816912343724,3.03837216396322,1.43209413063181,31.0804765854667,16.1618222410928,6.28992328024555,0.254013014515323,3.33358246293794,158.193493154808,5.93701389531525,4433.84663918144,104.776133546426
9,14.6638954926829,72.6662751345137,11.9981929996662,42.7162987674378,17.6537182053273,12,24.798020376013,23.7234564209176,6.0600095847994,3.84714528756606,0.903391941032474,73.8408165747858,26.8943879578781,8.39528395314071,0.117443197638096,1.87959460061479,107.772814629685,17.6031237448409,4274.99573122403,171.289008048316
10,15.3976207320961,59.805762847151,4.28279881201709,28.6325786239766,10.4982720938764,10,2.76353286543349,17.9551343644003,6.74299293595915,2.09087560837815,1.08579038060169,48.4191795726439,8.6727015677427,13.5001174917722,0.320273867175564,0.65292096838153,115.434802004153,7.76221654230421,2078.66989939443,51.0494030800154
11,2.07861813013421,40.5089034238638,7.86775236297214,13.7789141899105,9.07779516631646,7,10.6266038586307,27.9013878156061,5.6891938238224,3.13560192972017,1.28716247117081,17.0861239645136,16.0204945534991,13.1226316478086,0.194779358875979,2.69057669678809,56.2451028789102,11.3905198568982,2013.99168915697,113.965923716579
12,-5.57582924547723,65.2401925945792,2.86364427156642,65.7236706917306,22.0268778121489,5,-10.8750319476272,12.4486038627103,5.55007637070601,2.2657965775912,1.09082974342711,59.0857534567581,33.3577507220763,13.8639549844897,0.196016208520858,1.0318387268792,130.843355908302,15.6820986461631,6715.1888778709,133.915937389042
1,-6.25409591042561,31.400316091557,10.6690093653416,29.1333249548954,13.6298235965608,5,-7.45006379912292,24.2217127887764,7.28772834295967,2.33347796323481,1.21699859161266,93.1669639337163,8.04302938261886,5.33536454415369,0.303135821407452,1.19690116474013,119.027837055591,5.81503282594495,5702.25881748147,101.6717671882
2,-5.98118175367648,50.6720277336896,11.3408329242352,58.6875530755652,13.8338528011865,6,-1.07288072489971,18.7443587143431,6.17717743295728,3.74535315661499,0.588415458986081,83.5317518913845,26.1236264343561,8.61515857140852,0.0864012003424051,0.80473194058958,96.3061111663512,10.1743471666792,4871.64191846541,152.173335845381
3,0.267739084305784,47.5780071394504,5.60302020858511,55.445038419706,23.1192595898899,8,-0.0229405146032579,9.42927593575396,6.71044294894295,3.5906719221403,0.142456524173609,45.227517887992,14.1144429085612,4.38855746915692,0.187903968603552,0.380476190520702,171.357748271063,8.38536837287339,1796.35629669334,44.2706725580615
4,12.8062310542459,71.5986966214895,11.6240730943757,41.6669518115265,9.50067368486987,11,13.5231479554466,29.2689354230573,7.11457279504072,1.72028281982151,0.954266627807345,55.52283155199,22.0153768248118,4.68506852528485,0.0515197977355442,3.29811160726043,40.6842883150505,19.8564091180044,5279.43303490245,162.090812054025
5,21.4417553197927,59.7148399126835,11.5303474725702,40.7912127893344,8.60221900466911,13,19.3777438391434,27.7390069061615,5.57150600181336,2.51588379600197,0.258898608236177,59.8177912685168,16.8786685137507,13.2626071985146,0.259215484792154,1.86243064005405,163.844580816464,15.11756684198,4488.78014122201,141.536428649159
6,17.6354999676497,59.9143446278734,11.0491173932334,38.2682627112845,9.25725043214052,15,15.8679732510247,29.7178515624799,6.61183411752686,3.02027022197063,1.00119924054545,62.2976327576422,36.7531810064951,4.82341641741006,0.207415073983069,1.74056740630024,177.179975948592,14.3558928164097,1354.00935029659,65.3378345549802
7,27.049149421825,68.4062689776958,7.30470470512797,15.4007547549724,11.7089127439791,15,19.6845275160826,28.8847166354825,6.88942365502166,1.68305247969916,0.308016173955561,38.644368572462,31.8533375862019,13.8921921406563,0.0914943791335579,0.46003203960631,125.068732422775,16.5069777393977,2711.38653689346,74.975648110579
8,20.7832476291036,69.9398015791242,9.04049780671149,32.0516771798707,17.9335299326111,14,29.7627006113094,24.870034449438,6.60975160237416,3.79833144321075,0.664422046861458,43.3617127089655,12.7253518644823,9.89313259457683,0.32882696999362,3.01349515391059,165.675714180967,18.0248512762644,3188.22563347711,82.3632354070807
9,21.5584227737708,32.5952573163942,6.14075125600897,29.4366636301585,12.9648709862212,12,8.87389961657309,23.1335644665358,5.66167228866751,2.40896654410443,0.657887285374705,16.3556188109725,28.5609966255648,9.48958763354718,0.319284286677858,2.23116114645615,117.879365399182,10.5515529038279,3788.87986229532,71.7804271454162
10,8.45655706268343,46.2066150081878,7.93149601852939,28.4812963672174,22.4908574113877,10,5.24107446863236,29.9650428617019,5.9199634078013,3.93520220314994,0.822904900548098,25.8442796940375,11.2620031216686,5.03752374531244,0.314846133435489,0.761361241260465,115.311187617632,8.24808996031024,3611.11105823134,108.719123975248
11,3.30035394851306,71.089688139853,3.59670481972185,56.90095365779,12.831113690172,7,6.45503829830842,17.342960287418,5.6847131321217,1.76939855816444,0.848843928502733,19.5530765284771,14.264461719879,10.6177250935188,0.16722485511432,2.23341487455244,60.1338339189496,12.9918095719721,5370.19007755034,95.4787553961556
12,-2.07138119606692,72.9147503570584,5.22665161278939,75.7030199742514,17.062940210467,5,0.949558430469912,14.6002990475445,6.05084857812347,2.25742370321251,1.14288433653003,79.1849272462178,14.4294465315504,3.8422831631999,0.247111725974939,1.00281934995267,102.411971972074,17.5011596031256,6776.9317018124,107.400608541152
1,-7.6178977968747,58.0241204300484,8.22894836299997,64.81166549371,16.5831617153761,5,-6.0011206944035,13.0440355387464,6.70513736420203,1.98432207413216,0.171138684211409,105.867021644874,24.7906193615412,11.5504103382334,0.153360972458389,1.46745712548913,159.726602959092,4.01237640356541,3461.39128366139,98.0008941786542
2,-5.67682753311662,59.8442298762077,8.16793123244359,50.018495460441,13.788989123699,6,-9.91692384525966,20.8945176796976,6.16018312036296,1.6420166506921,0.161028041853181,111.101878305199,36.8669047720467,9.59082280486206,0.0889769582796516,0.960021183310412,70.6896620065949,5.31825632256325,2288.90511237514,75.2374860328862
3,3.15167434320476,46.818269376603,4.1006121386972,20.3310178603845,17.6997808079572,8,-2.56509297531329,24.1441492853281,6.74309924480104,2.09761180783491,1.48722157151801,18.9971041473134,15.1637472168344,13.9113726674326,0.080265849866918,3.08315204794605,159.560352653743,8.47777790475362,1200.18172686527,98.7672698069447
4,13.9108218949624,50.9511677650471,8.16324367231241,19.1388611156844,12.4794772732633,11,3.21347113949905,19.0191197308976,6.48247861037798,2.72696849686772,0.432208861916262,35.3970685677477,32.0864920615891,10.6853633161147,0.107015411261309,0.764020397517928,183.578531765709,5.50603583126632,3364.93550891172,139.724643968041
5,21.8323984418939,41.8934420199351,8.11056808794209,19.5443506787051,21.0331389616525,13,14.9110593861859,13.6661950155879,6.12953115079584,2.0665738559432,0.763668477041884,14.1673953976031,6.12900510634175,13.556090264931,0.261294781929481,1.41390289690219,82.820657876396,18.0390295532547,4965.05241866253,70.4107102438917
6,17.0584645371565,58.4551245392214,9.51447167201987,26.5271615404301,16.0111031724382,15,11.1023291325368,27.7819823289188,5.51727943461471,2.07650958518635,1.3123002862269,18.3001870639468,38.8627890454318,6.83715785681313,0.109317430076633,2.30241788933515,91.9634034683687,18.1589392598722,4622.09661828772,103.265919965897
7,28.8831193061713,38.3031893918832,4.85004228086389,48.1614594747759,7.58433470734794,15,16.7745218305037,17.720515968004,6.37785295495314,3.84277822272818,1.00240503420648,25.3130594323661,7.48346868461167,14.4632239892501,0.105159632753474,1.62449022545046,103.1255704688,17.6202132966881,3201.03520481377,87.3381181636754
8,29.2025239631196,52.6752855169885,3.83228387897841,75.7081958314844,17.2141091582461,14,34.6065425909069,28.4869164764212,5.65066671215765,3.87303634999318,0.82979822111079,12.7412084035354,29.7245820290767,10.9213889980248,0.160259143627502,0.584761512966607,196.078170941441,3.17067134701341,3484.04104563023,136.083977805733
9,18.5251325942242,37.3964867448146,4.74555775876267,22.0155227806536,17.8275161023682,12,16.0765089211658,11.5940818070571,7.1404940227996,2.43308368404682,0.551941379758928,41.8811627661556,29.1961939942125,14.2474009013223,0.253417851800445,0.30328729858065,117.673979754279,8.99250568616414,1189.12240378565,150.865602233504
10,14.4158782804267,74.1932380945783,8.83468587192458,32.0678265119599,20.4363110500924,10,10.8090330113001,24.8503208855476,5.59340659869544,2.27763060700566,0.334891135033168,68.3476331225668,5.87006523747667,10.185178108929,0.0302514789680005,2.3382436845097,91.6206639545764,5.43175493272343,2987.30907065147,106.914806269767
11,0.960785506318114,51.8766835132504,2.02271391515053,67.0435615866,13.5917746909525,7,2.81284835809968,23.4084625223383,7.17548218898636,3.19127479300607,0.674486696024125,19.9376298291658,11.7536382472106,3.45249420812343,0.0444700806678875,3.25681733517296,48.915373654137,8.92202811784419,5642.97866308938,109.158300229657
12,-4.76600469204104,31.8805644746522,1.01536028892486,57.9644568421654,7.20459313060352,5,1.01417075061124,29.0940007039767,5.98268363642384,2.78877917915552,1.49437284424254,25.4100676719239,34.5391580040484,12.489469072605,0.320790699449633,2.99345823083766,183.778723536366,19.6002974320383,4211.6345796392,98.8069978283564
1,-5.37646706421945,72.4150715956356,5.95768194481573,60.9258976586062,13.006350006954,5,-9.25962057602999,23.3964280799391,6.64426200171848,1.61047583087403,0.403748388515244,118.91680360629,12.7478203527212,4.30066740397288,0.024924260844334,2.31433608859685,42.0122346289175,17.8851690552692,4440.17234693834,81.785838151871
2,-4.77687041436956,35.6148825556064,7.67732641929768,27.0853770715917,21.3138236830072,6,0.149961503226212,26.6821340864055,6.50195013774089,2.21623615819226,0.651790504690944,54.8318640694628,8.37830107935698,3.23343240964758,0.0427529931875328,0.779501337251303,95.5701905640359,5.32780355077719,736.21191488315,151.761571881753
3,7.83853552522235,50.9252382745593,9.48562371936656,35.1716543087155,7.30625972966051,8,-4.65997742189176,9.15195414553091,7.41304358877627,2.25582082862107,0.111387144381664,66.5211675019898,31.1855592411232,9.47126503512543,0.236063144090414,1.27636904781982,175.143107101842,14.1528045162912,4764.62317972697,107.44194357942
4,10.6198263369192,74.1714057675842,4.74100184565175,78.7032608647769,20.7971069846232,11,18.394876262242,15.1553345470468,6.30187801043719,3.04788132936076,1.21546330844483,26.4813810898491,14.2477207611403,14.1270313869372,0.286238881763461,3.07224920734355,53.1501529705252,17.3671589787981,2349.73800027084,147.783430601615
5,16.2442579689515,59.7910324180996,3.5564308940834,36.5605719897844,10.4264728019391,13,25.607249328213,15.0490514287259,6.18056910066727,2.92226083520971,1.17230131725151,113.634579466613,11.5007811325385,11.2972444691031,0.36432958915326,0.898380657772256,143.055633100134,15.1697325465303,4852.66431108394,102.056444581737
6,25.7954073610568,56.0484348085717,10.4706164244458,52.3356752186409,12.3190967381313,15,33.9085999984196,20.0753346882536,6.13787995604208,3.90518692893437,1.23438899741195,109.743023938539,8.46097191640709,7.77261513541013,0.13776415472077,0.51003917159256,47.6083990901518,5.83918216476204,1244.55778250357,69.5688583481191
7,34.8048597017775,60.7773701178975,9.86004780421377,18.6822663173987,17.8160437886779,15,39.3270689081634,15.6192244555386,6.92740392775591,2.24474351176077,0.695224983331525,61.0889575398771,33.4150938058618,4.91894900099681,0.0690653967149679,3.45249808391104,150.769461936708,12.4030258869706,4657.42599368604,54.0814331285213
8,28.2519661112129,47.4285198328455,8.60052448659352,51.2060883061565,14.221247075521,14,15.5370792281656,21.7553080907512,6.54159492054533,3.98825820879596,1.09462099296552,15.6896132838365,35.91444049135,12.8711691883868,0.352495970018645,2.88732346969968,84.7781639897717,12.84115690365,2440.61928448798,143.752974419173
9,14.5530763289739,41.8969073011978,2.45498453467468,63.5649700694339,8.43881025878419,12,13.1986453506507,10.9343231947293,5.89815751474608,2.46025337337822,1.37634104593629,42.4165645067195,6.57099074241956,5.53868307587223,0.317439826652592,2.04431527104084,56.7352806198953,9.42764705898495,3796.00575505454,157.348570293377
10,15.1578403043821,69.1008230200658,3.90722460309015,12.8022260768485,18.0612218349141,10,8.20905863199017,8.40095482836034,6.29482740674888,3.64889114151313,0.387135239819219,73.3045518555333,23.454229955871,10.4982527181023,0.219620386566527,0.993770081634434,170.775144024628,9.24039725840084,1540.94433960173,174.705451074046
11,2.43129355902952,32.5580145523421,7.6562066997683,30.9467699225745,15.8627444900659,7,6.62983902553798,15.3621678915475,6.08711774528355,3.40955658249783,0.345064460788592,18.9464027738437,27.9774820101508,12.7784213312685,0.0921682200824285,2.23730370619634,126.860103394293,7.95911351295708,4976.03436225392,126.898225202122
12,-5.16886642396433,64.2760453243272,3.87430539031819,6.07994716826763,12.2558434109335,5,-2.17676804944344,27.8892469875568,7.23843419514088,1.79641022677013,0.580702189787362,51.1006110708602,10.9934979733839,4.69278604175785,0.039412052984933,0.626572909641708,87.5877880347667,10.8625309413896,5335.73333595773,114.743832135108
1,-6.18590340390425,41.8727346535063,7.05595359256444,35.0367446805874,11.9531848496936,5,-3.4178051191222,12.5565843899021,6.99838578600566,2.26424010167109,0.99030433855994,28.0878336100658,34.608901136208,9.83337313018917,0.296066290107107,3.31059457443843,117.289129216387,15.9967936007262,1153.83871240436,106.905496413814
2,-3.09134263203609,42.8136203147221,6.97032801263137,59.1783311853559,16.3841817157411,6,-5.51895782965682,15.4766321429114,6.69096489641665,2.12542707930716,0.724598154527015,93.3998917938267,33.5488512372032,5.09544927579631,0.308701012274705,0.794362836497483,106.300475935391,9.0178112197462,6820.87673616802,80.4028426476455
